read 500000 bytes
w is 20206,ntow is 500000,errno is 0
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
w is -1,ntow is 479794,errno is 11
